2021-01-24 19:48:45 - INFO - Epoch: 11,	 Iter: 400,	 Loss: 0.32777,	 Val-Acc1: 98.37 (Best: 98.47),	 Val-Acc5: 99.89
2021-01-24 19:48:59 - INFO - Epoch: 12,	 Iter: 0,	 Loss: 0.35424,	 Val-Acc1: 98.36 (Best: 98.47),	 Val-Acc5: 99.89
2021-01-24 19:49:10 - INFO - Epoch: 12,	 Iter: 100,	 Loss: 0.34159,	 Val-Acc1: 98.39 (Best: 98.47),	 Val-Acc5: 99.91
2021-01-24 19:49:20 - INFO - Epoch: 12,	 Iter: 200,	 Loss: 0.35179,	 Val-Acc1: 98.38 (Best: 98.47),	 Val-Acc5: 99.93
2021-01-24 19:49:31 - INFO - Epoch: 12,	 Iter: 300,	 Loss: 0.35023,	 Val-Acc1: 98.36 (Best: 98.47),	 Val-Acc5: 99.91
2021-01-24 19:49:41 - INFO - Epoch: 12,	 Iter: 400,	 Loss: 0.33116,	 Val-Acc1: 98.44 (Best: 98.47),	 Val-Acc5: 99.89
2021-01-24 19:49:55 - INFO - Epoch: 13,	 Iter: 0,	 Loss: 0.33257,	 Val-Acc1: 98.44 (Best: 98.47),	 Val-Acc5: 99.94
2021-01-24 19:50:06 - INFO - Epoch: 13,	 Iter: 100,	 Loss: 0.36418,	 Val-Acc1: 98.50 (Best: 98.50),	 Val-Acc5: 99.94
2021-01-24 19:50:17 - INFO - Epoch: 13,	 Iter: 200,	 Loss: 0.35378,	 Val-Acc1: 98.34 (Best: 98.50),	 Val-Acc5: 99.90
2021-01-24 19:50:27 - INFO - Epoch: 13,	 Iter: 300,	 Loss: 0.34000,	 Val-Acc1: 98.38 (Best: 98.50),	 Val-Acc5: 99.95
2021-01-24 19:50:38 - INFO - Epoch: 13,	 Iter: 400,	 Loss: 0.33354,	 Val-Acc1: 98.37 (Best: 98.50),	 Val-Acc5: 99.89
2021-01-24 19:50:52 - INFO - Epoch: 14,	 Iter: 0,	 Loss: 0.35570,	 Val-Acc1: 98.47 (Best: 98.50),	 Val-Acc5: 99.95
2021-01-24 19:50:52 - INFO - lr: 4e-05
2021-01-24 19:51:02 - INFO - Epoch: 14,	 Iter: 100,	 Loss: 0.35212,	 Val-Acc1: 98.43 (Best: 98.50),	 Val-Acc5: 99.93
2021-01-24 19:51:13 - INFO - Epoch: 14,	 Iter: 200,	 Loss: 0.34991,	 Val-Acc1: 98.40 (Best: 98.50),	 Val-Acc5: 99.95
2021-01-24 19:51:23 - INFO - Epoch: 14,	 Iter: 300,	 Loss: 0.34001,	 Val-Acc1: 98.50 (Best: 98.50),	 Val-Acc5: 99.94
2021-01-24 19:51:34 - INFO - Epoch: 14,	 Iter: 400,	 Loss: 0.36732,	 Val-Acc1: 98.49 (Best: 98.50),	 Val-Acc5: 99.90
2021-01-24 19:51:48 - INFO - Epoch: 15,	 Iter: 0,	 Loss: 0.33554,	 Val-Acc1: 98.47 (Best: 98.50),	 Val-Acc5: 99.93
2021-01-24 19:51:58 - INFO - Epoch: 15,	 Iter: 100,	 Loss: 0.36649,	 Val-Acc1: 98.42 (Best: 98.50),	 Val-Acc5: 99.93
2021-01-24 19:52:09 - INFO - Epoch: 15,	 Iter: 200,	 Loss: 0.33763,	 Val-Acc1: 98.42 (Best: 98.50),	 Val-Acc5: 99.94
2021-01-24 19:52:19 - INFO - Epoch: 15,	 Iter: 300,	 Loss: 0.36205,	 Val-Acc1: 98.49 (Best: 98.50),	 Val-Acc5: 99.95
2021-01-24 19:52:30 - INFO - Epoch: 15,	 Iter: 400,	 Loss: 0.33710,	 Val-Acc1: 98.42 (Best: 98.50),	 Val-Acc5: 99.91
2021-01-24 19:52:44 - INFO - Epoch: 16,	 Iter: 0,	 Loss: 0.35201,	 Val-Acc1: 98.51 (Best: 98.51),	 Val-Acc5: 99.92
2021-01-24 19:52:55 - INFO - Epoch: 16,	 Iter: 100,	 Loss: 0.36704,	 Val-Acc1: 98.50 (Best: 98.51),	 Val-Acc5: 99.92
2021-01-24 19:53:06 - INFO - Epoch: 16,	 Iter: 200,	 Loss: 0.33331,	 Val-Acc1: 98.52 (Best: 98.52),	 Val-Acc5: 99.88
2021-01-24 19:53:16 - INFO - Epoch: 16,	 Iter: 300,	 Loss: 0.35360,	 Val-Acc1: 98.50 (Best: 98.52),	 Val-Acc5: 99.92
